loan_amnt,term,int_rate,installment,emp_length,home_ownership,annual_inc,delinq_2yrs,pub_rec_bankruptcies,loan_status
10000, 36 months,21.45,379.07,10+ years,MORTGAGE,51000,0,0,Fully Paid
25000, 60 months,13.59,576.41,10+ years,MORTGAGE,84004,0,0,Current
5000, 36 months,7.26,154.99,9 years,MORTGAGE,71000,0,0,Fully Paid
18000, 36 months,9.17,573.83,10+ years,OWN,68000,0,0,Fully Paid
15000, 60 months,17.09,373.52,10+ years,MORTGAGE,65000,1,0,Fully Paid
5000, 36 months,11.49,164.86,,MORTGAGE,64856,0,0,Current
35000, 36 months,13.49,1187.57,2 years,MORTGAGE,275000,0,0,Fully Paid
25000, 36 months,10.91,817.41,10+ years,RENT,50000,0,0,Current
25000, 36 months,6.24,763.28,10+ years,MORTGAGE,85000,0,0,Fully Paid
7200, 36 months,10.64,234.5,10+ years,MORTGAGE,120000,1,0,Fully Paid
28000, 60 months,18.25,714.83,8 years,MORTGAGE,100000,1,0,Charged Off
8000, 36 months,13.98,273.35,3 years,RENT,74000,0,0,Charged Off
9600, 36 months,12.99,323.42,4 years,MORTGAGE,33800,0,0,Charged Off
12000, 36 months,7.49,373.22,10+ years,MORTGAGE,100000,1,0,Fully Paid
40000, 60 months,14.49,940.93,10+ years,MORTGAGE,250000,0,0,Fully Paid
10000, 60 months,17.99,253.88,5 years,RENT,63000,0,0,Current
1000, 36 months,9.16,31.88,10+ years,MORTGAGE,50000,0,0,Fully Paid
6000, 36 months,15.59,209.73,10+ years,RENT,40000,1,0,Fully Paid
14575, 60 months,16.99,362.15,2 years,MORTGAGE,47000,0,0,Fully Paid
4800, 36 months,6.89,147.97,7 years,RENT,72000,0,0,Fully Paid
4000, 36 months,11.99,132.84,7 years,OWN,52000,0,0,Current
5000, 36 months,13.49,169.66,2 years,RENT,45000,1,0,Fully Paid
2500, 36 months,11.49,82.43,6 years,RENT,67000,0,0,Fully Paid
8700, 36 months,8.39,274.2,5 years,RENT,44999,0,0,Fully Paid
32000, 36 months,11.39,1053.56,5 years,RENT,95000,1,0,Current
20000, 36 months,10.33,648.45,< 1 year,RENT,80000,0,0,Current
3300, 36 months,17.97,119.26,2 years,RENT,56000,0,0,Current
40000, 60 months,9.58,841.64,10+ years,MORTGAGE,95000,0,0,Current
25000, 36 months,23.87,979.12,,MORTGAGE,60180,0,0,Current
16000, 60 months,12.69,361.52,10+ years,OWN,50000,1,0,Charged Off
2800, 36 months,12.29,93.39,3 years,RENT,50000,0,0,Fully Paid
20000, 36 months,6.83,615.99,2 years,MORTGAGE,120000,0,0,Current
13500, 36 months,5.32,406.55,7 years,MORTGAGE,48000,0,0,Current
24000, 60 months,17.86,607.62,10+ years,MORTGAGE,85000,0,1,Fully Paid
9375, 36 months,19.99,348.37,< 1 year,RENT,50000,0,0,Charged Off
40000, 36 months,11.55,1320,,RENT,122000,0,0,Current
8000, 36 months,14.08,273.74,2 years,OWN,33000,1,0,Fully Paid
32000, 60 months,7.34,638.79,10+ years,MORTGAGE,67000,0,0,Current
17000, 60 months,9.99,361.12,10+ years,RENT,112000,0,0,Fully Paid
15200, 60 months,11.06,330.94,10+ years,MORTGAGE,70000,0,0,Current
15000, 60 months,21.67,411.48,9 years,MORTGAGE,51000,0,1,Charged Off
10000, 60 months,9.17,208.41,5 years,RENT,55000,0,0,Current
10000, 36 months,5.32,301.15,,MORTGAGE,58000,0,0,Fully Paid
24000, 36 months,8.19,754.18,7 years,RENT,235000,0,1,Fully Paid
28000, 60 months,19.99,741.68,10+ years,OWN,150000,1,0,Fully Paid
1200, 36 months,6.03,36.53,6 years,MORTGAGE,60000,0,0,Fully Paid
35000, 36 months,12.29,1167.36,10+ years,MORTGAGE,85600,0,0,Charged Off
5000, 36 months,13.56,169.83,3 years,RENT,22414,0,0,Current
4000, 36 months,13.33,135.42,10+ years,MORTGAGE,60000,0,1,Fully Paid
15650, 36 months,13.33,529.81,9 years,MORTGAGE,49000,3,0,Charged Off
6000, 36 months,17.86,216.5,10+ years,MORTGAGE,90000,0,0,Fully Paid
20000, 36 months,9.99,645.25,10+ years,MORTGAGE,75000,2,0,Charged Off
12000, 36 months,8.39,378.2,,MORTGAGE,41352,0,0,Fully Paid
4000, 36 months,14.09,136.89,5 years,MORTGAGE,42000,0,0,Fully Paid
9100, 36 months,8.39,286.81,10+ years,OWN,147000,0,0,Charged Off
22000, 36 months,10.47,714.75,10+ years,MORTGAGE,100500,1,0,Current
6250, 36 months,14.98,216.6,< 1 year,RENT,30000,1,0,Charged Off
19900, 60 months,18.99,516.11,4 years,RENT,41500,0,0,Charged Off
10000, 36 months,9.44,320.05,10+ years,MORTGAGE,37000,1,1,Fully Paid
16800, 60 months,23.99,483.21,5 years,MORTGAGE,70000,0,0,Current
9600, 36 months,13.33,324.99,1 year,RENT,31500,0,0,Fully Paid
8500, 36 months,11.49,280.26,10+ years,MORTGAGE,84000,1,0,Current
15000, 36 months,12.69,503.18,10+ years,MORTGAGE,63000,0,1,Fully Paid
3000, 36 months,7.89,93.86,10+ years,OWN,45000,0,0,Fully Paid
5425, 36 months,14.54,186.84,5 years,OWN,150000,2,0,Charged Off
10000, 36 months,8.24,314.48,8 years,RENT,105000,1,0,Current
35000, 60 months,19.42,916.03,10+ years,MORTGAGE,60000,0,0,Current
20875, 36 months,9.16,665.38,10+ years,MORTGAGE,125000,0,0,Fully Paid
1500, 36 months,14.74,51.81,1 year,RENT,39500,0,0,Fully Paid
22000, 60 months,14.47,517.28,10+ years,MORTGAGE,39000,0,0,Current
13150, 36 months,14.99,455.79,2 years,MORTGAGE,50000,1,0,Fully Paid
10000, 60 months,15.99,243.13,,RENT,32000,0,0,Fully Paid
10000, 36 months,14.99,346.61,10+ years,MORTGAGE,57000,0,0,Fully Paid
11000, 36 months,8.9,349.29,10+ years,MORTGAGE,93000,0,0,Fully Paid
30000, 36 months,12.74,1007.07,9 years,MORTGAGE,119000,0,0,Fully Paid
13000, 60 months,15.49,312.63,10+ years,MORTGAGE,45000,0,0,Current
23000, 60 months,12.29,515,7 years,MORTGAGE,50000,0,0,Charged Off
15000, 36 months,17.97,542.07,2 years,RENT,100000,2,0,Current
31500, 60 months,20.2,838.07,1 year,RENT,175000,2,0,Charged Off
3600, 36 months,12.62,120.65,< 1 year,MORTGAGE,58000,1,6,Current
24000, 60 months,17.09,597.63,6 years,RENT,30000,0,0,Late (31-120 days)
7000, 36 months,6.89,215.79,< 1 year,RENT,60000,6,0,Fully Paid
11700, 36 months,12.35,390.57,1 year,RENT,34000,0,0,Fully Paid
14000, 36 months,10.99,458.28,10+ years,MORTGAGE,57000,2,0,Charged Off
8000, 36 months,13.59,271.84,2 years,RENT,36000,0,1,Current
11375, 36 months,20.2,423.9,< 1 year,RENT,45000,0,0,Fully Paid
21850, 60 months,17.27,546.21,6 years,RENT,85000,1,0,Fully Paid
35000, 60 months,11.53,770.27,2 years,MORTGAGE,180000,0,0,Current
11000, 36 months,13.33,372.39,,MORTGAGE,35000,0,1,Fully Paid
6000, 36 months,12.62,201.07,< 1 year,RENT,45000,0,0,Current
25000, 60 months,11.49,549.69,8 years,MORTGAGE,160000,4,0,Charged Off
7475, 36 months,14.33,256.68,10+ years,MORTGAGE,31000,0,0,Fully Paid
2500, 36 months,9.44,80.02,10+ years,MORTGAGE,60000,1,0,Fully Paid
16000, 36 months,13.11,539.96,10+ years,RENT,178600,0,0,Fully Paid
3600, 36 months,7.97,112.77,,OWN,40000,0,0,Current
40000, 60 months,10.42,858.18,10+ years,MORTGAGE,160000,0,0,Fully Paid
30000, 36 months,11.99,996.29,7 years,RENT,140000,0,0,Fully Paid
35000, 60 months,9.43,733.87,4 years,RENT,145000,0,0,Current
18000, 36 months,13.53,611.1,< 1 year,MORTGAGE,80000,0,0,Fully Paid
6000, 36 months,7.49,186.61,< 1 year,MORTGAGE,28800,0,0,Fully Paid
16000, 36 months,15.02,554.81,,MORTGAGE,40000,0,0,Late (31-120 days)
12000, 36 months,7.62,373.94,7 years,RENT,330000,0,0,Fully Paid
9175, 36 months,19.52,338.74,10+ years,MORTGAGE,40000,0,0,Fully Paid
13400, 60 months,24.99,393.23,2 years,RENT,65000,1,0,Fully Paid
9000, 36 months,7.49,279.92,< 1 year,MORTGAGE,78000,0,0,Current
10000, 36 months,11.47,329.62,6 years,RENT,36000,0,0,Fully Paid
16150, 36 months,18.54,588.25,3 years,OWN,45000,0,1,Fully Paid
6000, 36 months,8.81,190.27,3 years,RENT,102000,0,0,Current
24000, 36 months,7.26,743.91,2 years,MORTGAGE,133952,0,0,Charged Off
12000, 36 months,12.05,398.86,4 years,MORTGAGE,46000,0,0,Fully Paid
13000, 36 months,11.99,431.73,10+ years,RENT,72000,0,0,Fully Paid
3000, 36 months,15.02,104.03,,RENT,8880,0,1,Current
24000, 60 months,13.56,552.98,3 years,RENT,98000,0,0,Current
5000, 36 months,11.44,164.74,1 year,RENT,75000,0,1,Current
28000, 36 months,10.49,909.94,10+ years,MORTGAGE,120000,5,0,Fully Paid
7000, 36 months,9.99,225.84,,MORTGAGE,85000,1,0,Fully Paid
2675, 36 months,6.46,81.94,,OWN,25000,1,0,Current
16700, 36 months,6.72,513.52,< 1 year,RENT,55000,0,0,Current
20000, 36 months,14.52,688.62,10+ years,MORTGAGE,46000,0,0,Current
6000, 36 months,14.99,207.97,10+ years,RENT,25000,0,0,Fully Paid
6000, 36 months,5.32,180.69,3 years,RENT,80000,0,0,Fully Paid
24375, 60 months,22.4,678.77,3 years,MORTGAGE,55000,1,0,Fully Paid
1800, 36 months,9.49,57.66,,RENT,36000,0,0,Current
21000, 36 months,13.66,714.27,3 years,MORTGAGE,72000,1,0,Charged Off
20000, 60 months,9.93,424.26,,RENT,75000,0,0,Current
5000, 36 months,9.17,159.4,< 1 year,MORTGAGE,32000,1,0,Charged Off
35000, 60 months,24.99,1027.1,10+ years,RENT,98000,1,0,Current
9600, 36 months,9.44,307.25,9 years,RENT,39000,0,0,Current
10000, 36 months,6.71,307.45,3 years,RENT,30000,0,0,Current
9600, 36 months,10.56,312.3,9 years,OWN,65000,1,0,Current
15000, 36 months,12.99,505.34,10+ years,RENT,50000,0,0,Fully Paid
10000, 60 months,19.92,264.5,4 years,RENT,60000,0,0,Current
8000, 36 months,16.02,281.34,10+ years,RENT,55000,0,1,Charged Off
12000, 36 months,15.49,418.87,6 years,MORTGAGE,32000,0,1,Current
27125, 60 months,25.99,811.98,10+ years,MORTGAGE,80000,0,0,Charged Off
20000, 60 months,10.15,426.42,10+ years,MORTGAGE,66080,0,0,Current
24000, 36 months,11.14,787.33,< 1 year,RENT,90000,0,0,Fully Paid
12000, 60 months,16.02,291.95,10+ years,OWN,119000,1,0,Current
20000, 36 months,13.99,683.46,10+ years,RENT,90000,1,0,Fully Paid
14375, 36 months,11.67,475.2,< 1 year,RENT,32000,0,0,Fully Paid
12000, 36 months,10.49,389.98,7 years,RENT,72000,1,0,Fully Paid
10000, 36 months,9.44,320.05,10+ years,MORTGAGE,55000,0,0,Current
35000, 60 months,15.61,843.9,10+ years,MORTGAGE,96000,0,0,Fully Paid
9875, 36 months,15.8,346.21,9 years,OWN,55000,0,0,Fully Paid
25000, 60 months,19.97,661.93,4 years,MORTGAGE,150000,0,0,Charged Off
20000, 36 months,10.9,653.83,10+ years,MORTGAGE,125000,2,0,Current
9350, 36 months,13.11,315.54,10+ years,MORTGAGE,34000,0,0,Fully Paid
11000, 36 months,6.97,339.5,10+ years,MORTGAGE,140000,0,0,Fully Paid
3000, 36 months,22.74,115.73,10+ years,RENT,93250,0,0,Current
20000, 60 months,19.05,519.37,3 years,MORTGAGE,79590,3,0,Fully Paid
5200, 36 months,13.11,175.49,2 years,RENT,29000,0,0,Charged Off
5375, 36 months,11.55,177.38,< 1 year,MORTGAGE,25000,0,0,Fully Paid
14975, 36 months,10.99,490.2,,RENT,60000,0,0,Fully Paid
16000, 60 months,7.89,323.59,8 years,MORTGAGE,62000,0,0,Fully Paid
14400, 36 months,13.59,489.3,4 years,RENT,119000,2,0,Current
18000, 36 months,11.55,594,2 years,RENT,84000,0,1,Current
8000, 36 months,13.99,273.39,10+ years,OWN,52000,8,0,Fully Paid
4000, 36 months,18.25,145.12,3 years,RENT,28800,0,0,Charged Off
16000, 36 months,12.12,532.35,10+ years,RENT,50000,0,0,Fully Paid
12000, 60 months,12.62,270.71,5 years,MORTGAGE,33000,0,0,Current
10000, 60 months,19.19,260.46,2 years,MORTGAGE,95000,0,0,Fully Paid
8000, 36 months,16.14,281.81,,RENT,18000,0,1,Current
15000, 36 months,11.39,493.86,8 years,RENT,72000,0,0,Current
2500, 36 months,9.93,80.59,10+ years,RENT,46700,0,1,Current
24575, 60 months,12.29,550.27,7 years,MORTGAGE,51200,0,0,Current
18000, 60 months,19.52,472.1,8 years,MORTGAGE,150000,0,0,Fully Paid
21000, 36 months,7.07,649.1,2 years,MORTGAGE,110000,0,0,Fully Paid
30750, 60 months,19.72,809.91,10+ years,MORTGAGE,93000,0,0,Charged Off
28000, 36 months,30.75,1200.18,5 years,OWN,80000,1,1,Charged Off
12000, 36 months,10.49,389.98,10+ years,MORTGAGE,105000,0,0,Fully Paid
7200, 36 months,13.98,246.01,7 years,MORTGAGE,142466,2,0,Fully Paid
3025, 36 months,10.91,98.91,10+ years,MORTGAGE,105000,0,0,Current
13200, 60 months,11.8,292.3,,OWN,31000,0,0,Current
15000, 36 months,8.24,471.71,8 years,MORTGAGE,80000,0,0,Current
12900, 60 months,13.99,300.1,10+ years,RENT,45000,0,0,Fully Paid
9175, 36 months,17.57,329.73,1 year,RENT,30618,4,0,Fully Paid
26875, 36 months,10.41,872.37,2 years,MORTGAGE,42000,0,0,Current
15500, 36 months,6.83,477.4,5 years,MORTGAGE,150000,0,1,Current
23000, 36 months,11.99,763.82,1 year,RENT,127200,0,0,Current
20000, 36 months,17.09,713.96,10+ years,MORTGAGE,65000,0,0,Fully Paid
20625, 60 months,17.86,522.17,10+ years,MORTGAGE,45000,0,0,Current
10000, 36 months,5.32,301.15,10+ years,MORTGAGE,62850,0,0,Fully Paid
7925, 36 months,12.12,263.68,10+ years,MORTGAGE,40000,0,0,Fully Paid
1000, 36 months,10.91,32.7,,RENT,33000,2,0,Current
3600, 36 months,17.47,129.2,,RENT,62000,0,1,Current
28000, 60 months,12.59,631.23,10+ years,OWN,104000,0,0,Current
17500, 60 months,13.49,402.59,7 years,MORTGAGE,95000,1,0,Fully Paid
12000, 60 months,24.5,348.71,5 years,RENT,65000,0,0,Current
5000, 36 months,7.21,154.87,< 1 year,RENT,85000,0,1,Current
16000, 36 months,7.89,500.58,9 years,MORTGAGE,140000,0,0,Fully Paid
7000, 36 months,7.39,217.4,,RENT,41500,3,0,Fully Paid
15000, 36 months,9.92,483.45,4 years,RENT,70000,0,0,Current
10000, 36 months,11.49,329.72,10+ years,RENT,72000,0,0,Fully Paid
10000, 36 months,17.77,360.38,6 years,RENT,36000,0,0,Fully Paid
22000, 36 months,10.99,720.15,1 year,RENT,104500,1,0,Fully Paid
15000, 36 months,12.12,499.08,10+ years,MORTGAGE,104000,1,0,Charged Off
25000, 60 months,16.02,608.22,3 years,MORTGAGE,117000,0,0,Late (31-120 days)
12000, 36 months,7.46,373.06,5 years,OWN,34000,0,1,Fully Paid
13800, 36 months,15.31,480.48,7 years,MORTGAGE,75000,0,0,Fully Paid
10000, 36 months,12.13,332.77,7 years,MORTGAGE,125000,0,0,Current
20000, 60 months,17.86,506.35,3 years,MORTGAGE,150000,0,1,Fully Paid
24000, 36 months,11.53,791.77,10+ years,MORTGAGE,70000,0,0,Charged Off
13675, 60 months,19.19,356.17,8 years,MORTGAGE,38000,0,0,Fully Paid
