Ticker,Name,Market Cap,Sector,Industry
TNET,TriNet Group Inc,6740998995,Industrials,Business Services
GXO,GXO Logistics Inc,6738904184,Unknown Sector,Unknown Industry
ACHC,Acadia Healthcare Company Inc,6726694899,Healthcare,Health Care Providers
LBTYA,Liberty Global plc - Class A,6717156627,Communication Services,Communication Services
KKPNY,Koninklijke KPN NV,6711358614,Communication Services,Communication Services
CIB,Bancolombia S.A.,6708743325,Financial Services,Banks
ONTO,Onto Innovation Inc,6699935127,Technology,Semiconductors
ICL,ICL Group Ltd,6695779890,Basic Materials,Agriculture
CHRD,Chord Energy Corp - New,6686448818,Unknown Sector,Unknown Industry
ARW,Arrow Electronics Inc,6680626932,Technology,Computer Hardware
WFRD,Weatherford International plc - New,6669068197,Unknown Sector,Unknown Industry
BRBR,Bellring Brands Inc,6665645930,Unknown Sector,Unknown Industry
CAE,Cae Inc,6649621054,Industrials,Aerospace & Defense
GRFS,Grifols SA,6641780411,Healthcare,Biotechnology
XRAY,DENTSPLY Sirona Inc,6639413948,Healthcare,Medical Instruments & Equipment
MIDD,Middleby Corp,6637126679,Industrials,Industrial Products
PSN,Parsons Corp,6632948522,Unknown Sector,Unknown Industry
MUR,Murphy Oil Corp,6631917332,Energy,Oil & Gas - E&P
FMC,FMC Corp,6625845379,Basic Materials,Agriculture
IEP,Icahn Enterprises L P,6621905108,Industrials,Conglomerates
EHC,Encompass Health Corp,6621245723,Healthcare,Health Care Providers
CEAYY,China Eastern Airlines Corporation Ltd,6610769914,Industrials,Airlines
NYCB,New York Community Bancorp Inc,6596199416,Financial Services,Banks
SN,SharkNinja Inc,6587788133,Unknown Sector,Unknown Industry
WH,Wyndham Hotels & Resorts Inc,6581310208,Consumer Cyclical,Travel & Leisure
QLYS,Qualys Inc,6580272323,Technology,Application Software
MAT,Mattel Inc,6569287558,Consumer Cyclical,Travel & Leisure
SOFI,SoFi Technologies Inc,6555789146,Unknown Sector,Unknown Industry
MSA,MSA Safety Inc,6531422388,Industrials,Consulting & Outsourcing
CIG,Cia Energetica DE Minas Gerais - Cemig,6524862718,Utilities,Utilities - Regulated
WTS,Watts Water Technologies Inc - Class A,6498269384,Industrials,Industrial Products
VFC,VF Corp,6486325146,Consumer Cyclical,Manufacturing - Apparel & Furniture
SF,Stifel Financial Corp,6453878994,Financial Services,Brokers & Exchanges
STAG,STAG Industrial Inc,6435575907,Real Estate,REITs
BRX,Brixmor Property Group Inc,6432686797,Real Estate,REITs
CIVI,Civitas Resources Inc New,6424480834,Energy,Oil & Gas - E&P
WFG,West Fraser Timber Co. Ltd,6418614367,Unknown,Unknown
GIL,Gildan Activewear Inc,6418535360,Consumer Cyclical,Manufacturing - Apparel & Furniture
SWAV,ShockWave Medical Inc,6396039094,Unknown Sector,Unknown Industry
SPSC,SPS Commerce Inc,6382798817,Technology,Application Software
CGNX,Cognex Corp,6343832494,Technology,Computer Hardware
HAS,Hasbro Inc,6329358672,Consumer Cyclical,Travel & Leisure
CFR,Cullen Frost Bankers Inc,6325744900,Financial Services,Banks
EXP,Eagle Materials Inc,6321065410,Basic Materials,Building Materials
SITE,SiteOne Landscape Supply Inc,6299166557,Industrials,Industrial Distribution
OSK,Oshkosh Corp,6287841475,Industrials,Truck Manufacturing
AM,Antero Midstream Corp,6283785376,Energy,Oil & Gas - Midstream
LSTR,Landstar System Inc,6275175617,Industrials,Transportation & Logistics
RLI,RLI Corp,6270844836,Financial Services,Insurance - Property & Casualty
NTRA,Natera Inc,6262982249,Healthcare,Medical Diagnostics & Research
AIT,Applied Industrial Technologies Inc,6257758575,Industrials,Industrial Distribution
TAL,TAL Education Group,6253283887,Consumer Defensive,Education
SAIC,Science Applications International Corp,6243332202,Technology,Application Software
STWD,Starwood Property Trust Inc,6233649755,Real Estate,REITs
SIGI,Selective Insurance Group Inc,6223244454,Financial Services,Insurance - Property & Casualty
IVZ,Invesco Ltd,6213394534,Financial Services,Asset Management
CBSH,Commerce Bancshares Inc,6211307398,Financial Services,Banks
ELF,e.l.f. Beauty Inc,6195064609,Consumer Defensive,Consumer Packaged Goods
PPC,Pilgrim`s Pride Corp,6158906053,Consumer Defensive,Consumer Packaged Goods
LEVI,Levi Strauss & Co. Cls A,6152300858,Unknown Sector,Unknown Industry
NCLH,Norwegian Cruise Line Holdings Ltd,6121845590,Consumer Cyclical,Travel & Leisure
NE,Noble Corp Plc - Class A,6120792206,Unknown Sector,Unknown Industry
CR,Crane Company,6108243328,Unknown Sector,Unknown Industry
ENSG,Ensign Group Inc,6099478576,Healthcare,Health Care Providers
ENLC,Enlink Midstream LLC,6068695150,Energy,Oil & Gas - Midstream
G,Genpact Ltd,6066903760,Industrials,Business Services
KT,KT Corporation,6031972375,Communication Services,Communication Services
FR,First Industrial Realty Trust Inc,6026815327,Real Estate,REITs
FN,Fabrinet,5994289989,Technology,Computer Hardware
MTSI,MACOM Technology Solutions Holdings Inc,5977169055,Technology,Semiconductors
FAF,First American Financial Corp,5970766605,Financial Services,Insurance - Specialty
WHR,Whirlpool Corp,5970203549,Consumer Cyclical,Manufacturing - Apparel & Furniture
RH,RH - Class A,5954096970,Consumer Cyclical,Retail - Apparel & Specialty
CVNA,Carvana Co. - Class A,5939073507,Consumer Cyclical,Retail - Apparel & Specialty
OLN,Olin Corp,5935223363,Basic Materials,Chemicals
BYD,Boyd Gaming Corp,5924713368,Consumer Cyclical,Travel & Leisure
YPF,YPF,5899691895,Energy,Oil & Gas - Integrated
ELAN,Elanco Animal Health Inc,5877619669,Healthcare,Drug Manufacturers
AN,Autonation Inc,5875953575,Consumer Cyclical,Autos
LFUS,Littelfuse Inc,5873400464,Technology,Computer Hardware
RHP,Ryman Hospitality Properties Inc,5835115072,Real Estate,REITs
TTDKY,TDK Corporation,5828429362,Tech,"Electronic Equipment, Instruments & Components"
ALTR,Altair Engineering Inc - Class A,5827968565,Unknown Sector,Unknown Industry
PLNT,Planet Fitness Inc - Class A,5810303303,Consumer Cyclical,Travel & Leisure
CFLT,Confluent Inc Class A,5803470792,Unknown Sector,Unknown Industry
CHH,Choice Hotels International Inc,5781836578,Consumer Cyclical,Travel & Leisure
CHX,ChampionX Corp,5781473767,Energy,Oil & Gas - Services
CROX,Crocs Inc,5776066975,Consumer Cyclical,Manufacturing - Apparel & Furniture
CMA,Comerica Inc,5749409698,Financial Services,Banks
OBDC,Blue Owl Capital Corp,5740765146,Unknown,Unknown
SRC,Spirit Realty Capital Inc,5733813194,Real Estate,REITs
ZI,ZoomInfo Technologies Inc,5732984331,Unknown Sector,Unknown Industry
NXT,Nextracker Inc - Class A,5719991127,Unknown Sector,Unknown Industry
ITCI,Intra-Cellular Therapies Inc,5694386083,Healthcare,Biotechnology
DOOO,BRP Inc,5681485444,Consumer Cyclical,Autos
HXL,Hexcel Corp,5678629078,Industrials,Aerospace & Defense
CPRI,Capri Holdings Ltd,5676837215,Consumer Cyclical,Manufacturing - Apparel & Furniture
GTLS,Chart Industries Inc,5673620702,Industrials,Industrial Products
W,Wayfair Inc - Class A,5666603709,Consumer Cyclical,Retail - Apparel & Specialty
HQY,Healthequity Inc,5661033756,Technology,Application Software
RICOY,Ricoh Company Ltd,5641130320,Unknown,Unknown
WIX,Wix.com Ltd,5636561802,Technology,Online Media
AYI,Acuity Brands Inc,5624614650,Technology,Computer Hardware
ATI,ATI Inc,5621724264,Industrials,Industrial Products
APLS,Apellis Pharmaceuticals Inc,5607827075,Healthcare,Biotechnology
DDS,Dillard`s Inc - Class A,5604261598,Consumer Cyclical,Retail - Apparel & Specialty
CRSP,CRISPR Therapeutics AG,5597713111,Healthcare,Biotechnology
SSB,SouthState Corporation,5592557534,Financial Services,Banks
PBF,PBF Energy Inc - Class A,5572910138,Energy,Oil & Gas - Refining & Marketing
FSK,FS KKR Capital Corp,5553717366,Financial Services,Brokers & Exchanges
SMAR,Smartsheet Inc - Class A,5546081944,Technology,Application Software
FRSH,Freshworks Inc Class A,5545477098,Unknown Sector,Unknown Industry
CACC,Credit Acceptance Corp,5538421500,Financial Services,Credit Services
BILI,Bilibili Inc,5534825583,Technology,Online Media
MSM,MSC Industrial Direct Co. Inc - Class A,5532902297,Industrials,Industrial Distribution
ADC,Agree Realty Corp,5532573166,Real Estate,REITs
EVR,Evercore Inc - Class A,5519461355,Financial Services,Brokers & Exchanges
PB,Prosperity Bancshares Inc,5505256948,Financial Services,Banks
DTM,DT Midstream Inc,5492421060,Unknown Sector,Unknown Industry
HR,Healthcare Realty Trust Inc,5488157036,Real Estate,REITs
ABCM,Abcam,5479474318,Unknown,Unknown
ADT,ADT Inc,5472076827,Unknown Sector,Unknown Industry
REYN,Reynolds Consumer Products Inc,5462340098,Unknown Sector,Unknown Industry
BC,Brunswick Corp,5451252188,Consumer Cyclical,Travel & Leisure
FLR,Fluor Corporation,5437961288,Industrials,Engineering & Construction
PNFP,Pinnacle Financial Partners Inc,5430674771,Financial Services,Banks
IGT,International Game Technology PLC,5430024560,Consumer Cyclical,Travel & Leisure
ALGM,Allegro Microsystems Inc,5428862572,Unknown Sector,Unknown Industry
OPCH,Option Care Health Inc,5425081453,Healthcare,Health Care Providers
SON,Sonoco Products Company,5420897215,Consumer Cyclical,Packaging & Containers
COHR,Coherent Corp,5417311755,Technology,Computer Hardware
PVH,PVH Corp,5408706491,Consumer Cyclical,Manufacturing - Apparel & Furniture
UGP,Ultrapar Participacoes S.A.,5397337619,Energy,Oil & Gas - Refining & Marketing
FIVN,Five9 Inc,5397148199,Technology,Application Software
AETUF,ARC Resources Ltd,5379791972,Energy,"Oil, Gas & Consumable Fuels"
THO,Thor Industries Inc,5373463939,Consumer Cyclical,Autos
ATEYY,Advantest Corporation,5353102758,Unknown,Unknown
BLCO,Bausch + Lomb Corp,5351697657,Unknown Sector,Unknown Industry
ACHHY,Aluminum Corporation of China Limited American Depositary Shares,5350494836,Unknown Sector,Unknown Industry
AGI,Alamos Gold Inc - Class A,5348927078,Basic Materials,Metals & Mining
WAL,Western Alliance Bancorp,5341578632,Financial Services,Banks
SUN,Sunoco LP,5340292969,Energy,Oil & Gas - Refining & Marketing
DV,DoubleVerify Holdings Inc,5340162048,Unknown Sector,Unknown Industry
NSIT,Insight Enterprises Inc,5331676294,Technology,Application Software
AGNC,AGNC Investment Corp,5327420082,Real Estate,REITs
MHK,Mohawk Industries Inc,5325101885,Consumer Cyclical,Manufacturing - Apparel & Furniture
ASND,Ascendis Pharma A/S,5303533320,Healthcare,Biotechnology
POST,Post Holdings Inc,5299691865,Consumer Defensive,Consumer Packaged Goods
HALO,Halozyme Therapeutics Inc,5291346497,Healthcare,Biotechnology
FG,F&G Annuities & Life Inc,5287629837,Unknown Sector,Unknown Industry
KNTK,Kinetik Holdings Inc - Class A,5245104734,Industrials,Conglomerates
NXST,Nexstar Media Group Inc,5242742847,Consumer Cyclical,Entertainment
ZWS,Zurn Elkay Water Solutions Corp,5238587590,Industrials,Industrial Products
FOUR,Shift4 Payments Inc - Class A,5237780587,Unknown,Unknown
MTH,Meritage Homes Corp,5221770872,Consumer Cyclical,Homebuilding & Construction
BPOP,Popular Inc,5206901045,Financial Services,Banks
BECN,Beacon Roofing Supply Inc - Class A,5206052033,Basic Materials,Building Materials
MKSI,MKS Instruments Inc,5199919023,Technology,Computer Hardware
TKR,Timken Company,5195940422,Industrials,Industrial Products
AAON,AAON Inc,5185466550,Basic Materials,Building Materials
VNT,Vontier Corporation,5172903007,Unknown Sector,Unknown Industry
ELP,Cia Paranaense De Energia Copel,5166613480,Utilities,Utilities - Regulated
NOVT,Novanta Inc,5166425708,Technology,Computer Hardware
ESNT,Essent Group Ltd,5161121815,Financial Services,Banks
CMC,Commercial Metals Company,5146774268,Basic Materials,Steel
FYBR,Frontier Communications Parent Inc,5141278280,Unknown Sector,Unknown Industry
WTFC,Wintrust Financial Corp,5141197308,Financial Services,Banks
DLO,DLocal Ltd Class A,5140916075,Unknown Sector,Unknown Industry
BFAM,Bright Horizons Family Solutions Inc,5118027561,Consumer Cyclical,Personal Services
S,SentinelOne Inc - Class A,5107554644,Unknown Sector,Unknown Industry
ZION,Zions Bancorporation N.A,5097674027,Financial Services,Banks
PII,Polaris Inc,5096864204,Consumer Cyclical,Autos
TXG,10x Genomics Inc - Class A,5090079620,Unknown Sector,Unknown Industry
BRZE,Braze Inc - Class A,5081840525,Unknown Sector,Unknown Industry
HLNE,Hamilton Lane Inc - Class A,5075278035,Financial Services,Brokers & Exchanges
MMS,Maximus Inc,5062059957,Industrials,Business Services
WK,Workiva Inc - Class A,5054669710,Technology,Application Software
CWAN,Clearwater Analytics Holdings Inc Class A,5044034502,Unknown Sector,Unknown Industry
OZK,Bank OZK,5032389627,Financial Services,Banks
FCFS,FirstCash Holdings Inc,5025923555,Financial Services,Credit Services
GLBE,Global E Online Ltd,5003539670,Unknown Sector,Unknown Industry
FRHC,Freedom Holding Corp,4978559489,Unknown,Unknown
FLS,Flowserve Corp,4978003748,Industrials,Industrial Products
VAL,Valaris Ltd,4974191189,Materials,Chemicals
MTG,MGIC Investment Corp,4957547998,Financial Services,Insurance - Specialty
ESI,Element Solutions Inc,4952975118,Basic Materials,Chemicals
NEU,NewMarket Corp,4951403558,Basic Materials,Chemicals
ATKR,Atkore Inc,4944945371,Industrials,Industrial Products
PHI,PLDT Inc,4936874459,Communication Services,Communication Services
RITM,Rithm Capital Corporation,4925036975,Real Estate,REITs
TMHC,Taylor Morrison Home Corp,4920786081,Consumer Cyclical,Homebuilding & Construction
IDA,Idacorp Inc,4910140681,Utilities,Utilities - Regulated
AUOTY,AUO Corp,4908365009,Technology,Computer Hardware
VNOM,Viper Energy Inc - Class A,4903368851,Unknown Sector,Unknown Industry
CLVT,Clarivate Plc,4894610659,Unknown Sector,Unknown Industry
MASI,Masimo Corp,4893066561,Healthcare,Medical Instruments & Equipment
VNOM,Viper Energy Partners LP,4872662190,Energy,Oil & Gas - E&P
ST,Sensata Technologies Holding Plc,4847033592,Technology,Computer Hardware
R,Ryder System Inc,4841824314,Industrials,Consulting & Outsourcing
VVV,Valvoline Inc,4839329312,Energy,Oil & Gas - Refining & Marketing
OLLI,Ollies Bargain Outlet Holdings Inc,4833259355,Consumer Defensive,Retail - Defensive
DRS,Leonardo DRS Inc,4831280000,Unknown Sector,Unknown Industry
CNXC,Concentrix Corp,4829530317,Unknown Sector,Unknown Industry
RIG,Transocean Ltd,4822261082,Energy,Oil & Gas - Drilling
ALSN,Allison Transmission Holdings Inc,4809811229,Consumer Cyclical,Autos
AGL,Agilon Health Inc,4796853610,Unknown Sector,Unknown Industry
BBIO,BridgeBio Pharma Inc,4792935771,Unknown Sector,Unknown Industry
DOCS,Doximity Inc - Class A,4774344909,Unknown Sector,Unknown Industry
SEE,Sealed Air Corp,4771311323,Consumer Cyclical,Packaging & Containers
ESAB,ESAB Corp,4756271995,Unknown Sector,Unknown Industry
BOKF,BOK Financial Corp,4745398372,Financial Services,Banks
RRR,Red Rock Resorts Inc - Class A,4738699774,Consumer Cyclical,Travel & Leisure
BROS,Dutch Bros Inc - Class A,4733352796,Unknown Sector,Unknown Industry
DXC,DXC Technology Company,4731320672,Technology,Application Software
AZEK,AZEK Company Inc - Class A,4730220977,Unknown Sector,Unknown Industry
AXS,Axis Capital Holdings Ltd,4717847237,Financial Services,Insurance - Property & Casualty
TDC,Teradata Corp,4711284000,Technology,Computer Hardware
AA,Alcoa Corp,4707500580,Basic Materials,Metals & Mining
ALK,Alaska Air Group Inc,4698398458,Industrials,Airlines
NFG,National Fuel Gas Company,4692884730,Energy,Oil & Gas - E&P
TRNO,Terreno Realty Corp,4682217953,Real Estate,REITs
LANC,Lancaster Colony Corp,4678108320,Consumer Defensive,Consumer Packaged Goods
BXSL,Blackstone Secured Lending Fund.,4675560354,Unknown Sector,Unknown Industry
LNTH,Lantheus Holdings Inc,4673816605,Healthcare,Medical Diagnostics & Research
AMG,Affiliated Managers Group Inc,4668251076,Financial Services,Asset Management
SIM,Grupo Simec S.A.B. de C.V.,4667393318,Basic Materials,Steel
IRDM,Iridium Communications Inc,4666890706,Communication Services,Communication Services
EXLS,ExlService Holdings Inc,4666732787,Industrials,Business Services
CIGI,Colliers International Group Inc,4664687040,Real Estate,Real Estate Services
CWEN,Clearway Energy Inc - Class C,4647730451,Utilities,Utilities - Regulated
OMF,OneMain Holdings Inc,4642131633,Financial Services,Credit Services
MLI,Mueller Industries Inc,4635420416,Industrials,Industrial Products
GMED,Globus Medical Inc - Class A,4619182848,Healthcare,Medical Devices
UGI,UGI Corp,4617782717,Utilities,Utilities - Regulated
MMYT,MakeMyTrip Ltd,4613315643,Consumer Cyclical,Travel & Leisure
CWST,Casella Waste Systems Inc - Class A,4610317285,Industrials,Waste Management
QDEL,QuidelOrtho Corporation,4609888523,Healthcare,Medical Diagnostics & Research
RYN,Rayonier Inc,4609669468,Basic Materials,Forest Products
PCVX,Vaxcyte Inc,4598499031,Unknown Sector,Unknown Industry
KEX,Kirby Corp,4595780000,Industrials,Transportation & Logistics
COLM,Columbia Sportswear Company,4593022722,Consumer Cyclical,Manufacturing - Apparel & Furniture
SLGN,Silgan Holdings Inc,4586965060,Consumer Cyclical,Packaging & Containers
TENB,Tenable Holdings Inc,4566584702,Technology,Application Software
COLB,Columbia Banking System Inc,4563529717,Financial Services,Banks
FIZZ,National Beverage Corp,4562187793,Consumer Defensive,Beverages - Non-Alcoholic
BCC,Boise Cascade Company,4534618556,Basic Materials,Forest Products
IPGP,IPG Photonics Corp,4529235695,Technology,Semiconductors
MTZ,Mastec Inc,4521856139,Industrials,Engineering & Construction
KRG,Kite Realty Group Trust,4521279261,Real Estate,REITs
UBSI,United Bankshares Inc,4516276090,Financial Services,Banks
AIRC,Apartment Income REIT Corp - Class A,4499089339,Unknown Sector,Unknown Industry
FLO,Flowers Foods Inc,4496885514,Consumer Defensive,Consumer Packaged Goods
MGY,Magnolia Oil & Gas Corp - Class A,4490329555,Energy,Oil & Gas - E&P
RCM,R1 RCM Inc,4487313909,Technology,Application Software
NTCO,Natura &Co Holding S.A.,4483650395,Unknown Sector,Unknown Industry
PWSC,PowerSchool Holdings Inc Class A,4482516230,Unknown Sector,Unknown Industry
SID,Companhia Siderurgica Nacional,4481702672,Basic Materials,Steel
WU,Western Union Company,4471945572,Financial Services,Credit Services
MOG-A,Moog Inc - Class A,4471528646,Industrials,Aerospace & Defense
DNB,Dun & Bradstreet Holdings Inc,4471320914,Unknown Sector,Unknown Industry
SM,SM Energy Company,4470130477,Energy,Oil & Gas - E&P
FRO,Frontline Plc,4463434369,Industrials,Transportation & Logistics
HOMB,Home Bancshares Inc,4454765096,Financial Services,Banks
SEDG,Solaredge Technologies Inc,4449968963,Technology,Semiconductors
ACT,Enact Holdings Inc,4447827306,Unknown Sector,Unknown Industry
VLY,Valley National Bancorp,4441803896,Financial Services,Banks
STNE,StoneCo Ltd - Class A,4439292119,Technology,Application Software
HUN,Huntsman Corp,4436707286,Basic Materials,Chemicals
ASAN,Asana Inc - Class A,4433539249,Unknown Sector,Unknown Industry
ENIC,Enel Chile S.A.,4426659662,Utilities,Utilities - Regulated
POWI,Power Integrations Inc,4423926128,Technology,Semiconductors
VMI,Valmont Industries Inc,4417936575,Industrials,Industrial Products
LPX,Louisiana-Pacific Corp,4415081362,Basic Materials,Building Materials
PSNY,Polestar Automotive Holding UK PLC,4396819735,Unknown Sector,Unknown Industry
ASGN,ASGN Inc,4378264000,Industrials,Employment Services
SNV,Synovus Financial Corp,4374780974,Financial Services,Banks
BMI,Badger Meter Inc,4364555922,Technology,Computer Hardware
EEFT,Euronet Worldwide Inc,4345685168,Industrials,Business Services
PEGA,Pegasystems Inc,4340548791,Technology,Application Software
VRNS,Varonis Systems Inc,4335504023,Technology,Application Software
TKC,Turkcell Iletisim Hizmetleri A.S.,4329600000,Communication Services,Communication Services
NSP,Insperity Inc,4328740687,Industrials,Employment Services
AVT,Avnet Inc,4326618281,Technology,Computer Hardware
CBT,Cabot Corp,4325047603,Basic Materials,Chemicals
THG,Hanover Insurance Group Inc,4323001147,Financial Services,Insurance - Property & Casualty
AEL,American Equity Investment Life Holding Company,4295444573,Financial Services,Insurance - Life
SWX,Southwest Gas Holdings Inc,4287166888,Utilities,Utilities - Regulated
ONB,Old National Bancorp,4286428850,Financial Services,Banks
ESGR,Enstar Group Ltd,4278301052,Financial Services,Insurance
HOG,Harley-Davidson Inc,4276106749,Consumer Cyclical,Autos
KBH,KB Home,4273937481,Consumer Cyclical,Homebuilding & Construction
IMVT,Immunovant Inc,4269696719,Unknown Sector,Unknown Industry
STTSY,Straits Trading Company Ltd,4267216364,Unknown,Unknown
JHG,Janus Henderson Group plc,4264034475,Financial Services,Asset Management
ABG,Asbury Automotive Group Inc,4260502937,Consumer Cyclical,Autos
AL,Air Lease Corp - Class A,4252343752,Industrials,Consulting & Outsourcing
SFM,Sprouts Farmers Market Inc,4247536711,Consumer Defensive,Retail - Defensive
FSS,Federal Signal Corp,4242651099,Industrials,Industrial Products
INSP,Inspire Medical Systems Inc,4227278837,Healthcare,Medical Devices
TLSNY,Telia Company AB,4226409790,Unknown,Unknown
ALIT,Alight Inc - Class A,4224128855,Unknown Sector,Unknown Industry
ACLS,Axcelis Technologies Inc,4204901662,Technology,Semiconductors
WOLF,Wolfspeed Inc,4200886174,Technology,Semiconductors
SRCL,Stericycle Inc,4193081133,Industrials,Waste Management
FNB,F.N.B. Corp,4191024234,Financial Services,Banks
SAM,Boston Beer Co. Inc - Class A,4176049871,Consumer Defensive,Beverages - Alcoholic
FTAI,FTAI Aviation Ltd - Class A,4175990116,Industrials,Consulting & Outsourcing
VNO,Vornado Realty Trust,4169099788,Real Estate,REITs
POR,Portland General Electric Company,4165093977,Utilities,Utilities - Regulated
NJR,New Jersey Resources Corporation,4164918621,Utilities,Utilities - Regulated
PECO,Phillips Edison & Company Inc - New,4161830000,Unknown Sector,Unknown Industry
IAC,IAC Inc - New,4158378787,Technology,Online Media
HAE,Haemonetics Corp,4157370580,Healthcare,Medical Instruments & Equipment
KD,Kyndryl Holdings Inc,4154390998,Unknown Sector,Unknown Industry
SGRY,Surgery Partners Inc,4154224533,Healthcare,Health Care Providers
LOPE,Grand Canyon Education Inc,4151595117,Consumer Defensive,Education
SYM,Symbotic Inc - Class A,4151533647,Unknown Sector,Unknown Industry
CRUS,Cirrus Logic Inc,4149731807,Technology,Semiconductors
FELE,Franklin Electric Co. Inc,4137567472,Industrials,Industrial Products
TIIAY,Telecom Italia S.p.A. ADR (Representing 10 ),4135249343,Unknown Sector,Unknown Industry
IQ,iQIYI Inc,4131180950,Technology,Online Media
MMSI,Merit Medical Systems Inc,4130727756,Healthcare,Medical Instruments & Equipment
PRGO,Perrigo Company plc,4122831129,Healthcare,Drug Manufacturers
VERX,Vertex Inc Class A,4121500898,Unknown Sector,Unknown Industry
AQN,Algonquin Power & Utilities Corp,4119268104,Utilities,Utilities - Independent Power Producers
IBP,Installed Building Products Inc,4115270775,Basic Materials,Building Materials
SUM,Summit Materials Inc - Class A,4105443302,Basic Materials,Building Materials
SEB,Seaboard Corp,4104526152,Industrials,Conglomerates
MSGS,Madison Square Garden Sports Corp - Class A,4091737900,Consumer Cyclical,Travel & Leisure
FUL,H.B. Fuller Company,4082242607,Basic Materials,Chemicals
LNC,Lincoln National Corp,4073011285,Financial Services,Insurance - Life
EMGC,Emerge EMPWR Sustainable Select Growth Equity ETF,4072217344,Unknown Sector,Unknown Industry
BLKB,Blackbaud Inc,4067653195,Technology,Application Software
BPMC,Blueprint Medicines Corp,4065144830,Healthcare,Biotechnology
ALKS,Alkermes plc,4060701959,Healthcare,Biotechnology
CXM,Sprinklr Inc Class A,4060000074,Unknown Sector,Unknown Industry
SNDR,Schneider National Inc - Class B,4053651527,Industrials,Transportation & Logistics
M,Macy`s Inc,4044342039,Consumer Cyclical,Retail - Apparel & Specialty
WEN,Wendy`s Co - Class A,4041354003,Consumer Cyclical,Restaurants
ORA,Ormat Technologies Inc,4037442378,Utilities,Utilities - Independent Power Producers
SYNA,Synaptics Inc,4019702269,Technology,Application Software
IMGN,Immunogen Inc,4017946896,Healthcare,Biotechnology
HCP,HashiCorp Inc - Class A,4008454943,Unknown Sector,Unknown Industry
RDN,Radian Group Inc,4004913955,Financial Services,Insurance - Specialty
ASH,Ashland Inc,4000386119,Basic Materials,Chemicals
GT,Goodyear Tire & Rubber Company,3994195397,Consumer Cyclical,Autos
COOP,Mr. Cooper Group Inc,3988852740,Financial Services,Banks
EXPO,Exponent Inc,3984522938,Industrials,Business Services
JOBY,Joby Aviation Inc,3982408275,Unknown Sector,Unknown Industry
LUNMF,Lundin Mining Corp,3979993515,Materials,Metals & Mining
LYFT,Lyft Inc Cls A,3974388660,Unknown Sector,Unknown Industry
IPAR,Inter Parfums Inc,3953791596,Consumer Defensive,Consumer Packaged Goods
CPA,Copa Holdings S.A. - Class A,3947595684,Industrials,Airlines
SMPL,Simply Good Foods Company,3945126434,Consumer Defensive,Consumer Packaged Goods
HGV,Hilton Grand Vacations Inc,3935272781,Consumer Cyclical,Travel & Leisure
GPI,Group 1 Automotive Inc,3934245000,Consumer Cyclical,Autos
AGO,Assured Guaranty Ltd,3933912865,Financial Services,Insurance - Specialty
BSM,Black Stone Minerals L.P.,3932082263,Energy,Oil & Gas - E&P
ETRN,Equitrans Midstream Corporation,3929677270,Unknown,Unknown
NVST,Envista Holdings Corp,3928495971,Unknown,Unknown
RELY,Remitly Global Inc,3924762672,Unknown Sector,Unknown Industry
SPXC,SPX Technologies Inc,3921235551,Industrials,Industrial Products
BCPC,Balchem Corp,3920355910,Basic Materials,Chemicals
CPG,Crescent Point Energy Corp,3905436989,Energy,Oil & Gas - E&P
WTM,White Mountains Insurance Group Ltd,3904356441,Financial Services,Insurance - Property & Casualty
PENN,PENN Entertainment Inc,3902805021,Consumer Cyclical,Travel & Leisure
PFSI,PennyMac Financial Services Inc,3901117998,Financial Services,Banks
CC,Chemours Company,3882580382,Basic Materials,Chemicals
SHC,Sotera Health Company,3880313877,Unknown Sector,Unknown Industry
MDU,MDU Resources Group Inc,3873201854,Basic Materials,Building Materials
GATX,GATX Corp,3871698000,Industrials,Consulting & Outsourcing
SQSP,Squarespace Inc - Class A,3846076132,Unknown Sector,Unknown Industry
GOLF,Acushnet Holdings Corp,3836843491,Consumer Cyclical,Travel & Leisure
CERE,Cerevel Therapeutics Holdings Inc,3833249060,Unknown Sector,Unknown Industry
ESMT,Engagesmart Inc,3832554603,Unknown Sector,Unknown Industry
BXMT,Blackstone Mortgage Trust Inc - Class A,3823592806,Real Estate,REITs
PCH,PotlatchDeltic Corp,3807772397,Real Estate,REITs
FFIN,First Financial Bankshares Inc,3798343226,Financial Services,Banks
CAVA,Cava Group Inc,3791417664,Unknown Sector,Unknown Industry
DAVA,Endava plc,3781108837,Technology,Application Software
JXN,Jackson Financial Inc - Class A,3775270201,Unknown Sector,Unknown Industry
TFSL,TFS Financial Corporation,3773229659,Financial Services,Banks
MAN,ManpowerGroup,3772630236,Industrials,Employment Services
BOX,Box Inc - Class A,3753943160,Technology,Application Software
APLE,Apple Hospitality REIT Inc,3750017118,Real Estate,REITs
USM,United States Cellular Corporation,3746869256,Communication Services,Communication Services
GME,Gamestop Corporation - Class A,3745392776,Consumer Cyclical,Retail - Apparel & Specialty
HP,Helmerich & Payne Inc,3731477521,Energy,Oil & Gas - Drilling
AWI,Armstrong World Industries Inc,3728822138,Basic Materials,Building Materials
AMR,Alpha Metallurgical Resources Inc,3726277922,Unknown,Unknown
SIG,Signet Jewelers Ltd,3713527657,Consumer Cyclical,Retail - Apparel & Specialty
ASO,Academy Sports and Outdoors Inc,3701199475,Unknown Sector,Unknown Industry
